table,sigma_label,method,mean,std,count,min,max,panel,d,n,effect_range,alpha,mu_norm_l2,mu_direction,contrast,context,groups,alignment_range,M_trace_range,M_mu_range,T_range,diagnostic,corr_alignment,corr_alignment_log10_diagnostic
loss_final_alignment,isotropic,logistic,0.8078884182973829,0.002188764677565775,100.0,,,,,,,,,,,,,,,,,,,
loss_final_alignment,isotropic,square,0.7943332585352281,0.0025132237485071154,100.0,,,,,,,,,,,,,,,,,,,
loss_final_alignment,low_rank,logistic,0.8801430971010279,0.0019494833492650371,100.0,,,,,,,,,,,,,,,,,,,
loss_final_alignment,low_rank,square,0.8617053885836135,0.0025616258533149405,100.0,,,,,,,,,,,,,,,,,,,
loss_final_alignment,polynomial alpha=0.2,logistic,0.9897704348955753,0.0002432145192898471,100.0,,,,,,,,,,,,,,,,,,,
loss_final_alignment,polynomial alpha=0.2,square,0.9617553574432357,0.0015081936469842194,100.0,,,,,,,,,,,,,,,,,,,
loss_final_alignment,polynomial alpha=0.5,logistic,0.9998079790142248,2.332199343951015e-05,100.0,,,,,,,,,,,,,,,,,,,
loss_final_alignment,polynomial alpha=0.5,square,0.9612888037203358,0.0018545762917108037,100.0,,,,,,,,,,,,,,,,,,,
loss_final_alignment,polynomial alpha=0.8,logistic,0.9999721364050247,1.328291752432725e-05,100.0,,,,,,,,,,,,,,,,,,,
loss_final_alignment,polynomial alpha=0.8,square,0.9843596199807336,0.0018129728958579236,100.0,,,,,,,,,,,,,,,,,,,
loss_paired_delta,isotropic,,-0.01355515976215496,0.0007132457760937916,100.0,-0.015685562408725984,-0.011725280229933577,,,,,,,,,,,,,,,,,
loss_paired_delta,low_rank,,-0.018437708517414563,0.0009919132780827772,100.0,-0.021055272735443498,-0.016209277899385865,,,,,,,,,,,,,,,,,
loss_paired_delta,polynomial alpha=0.2,,-0.02801507745233967,0.0013400099488864068,100.0,-0.03100405391515515,-0.024262468633954648,,,,,,,,,,,,,,,,,
loss_paired_delta,polynomial alpha=0.5,,-0.03851917529388896,0.001849191794280954,100.0,-0.04329211181613046,-0.034147683040277155,,,,,,,,,,,,,,,,,
loss_paired_delta,polynomial alpha=0.8,,-0.015612516424290939,0.0018096303877243234,100.0,-0.01926244802603283,-0.011120596006176986,,,,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.29973081247477223,0.006965053740914259,20.0,,,fixed_d_vary_n,20000.0,50.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.40554501873941573,0.004591133165383967,20.0,,,fixed_d_vary_n,20000.0,100.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.5296039031197243,0.005783457607688228,20.0,,,fixed_d_vary_n,20000.0,200.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.6578267276316991,0.0034346115480118097,20.0,,,fixed_d_vary_n,20000.0,400.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.7668616008993365,0.0023250130761555397,20.0,,,fixed_d_vary_n,20000.0,800.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.8144675251462502,0.002237517386046208,20.0,,,fixed_d_vary_n,20000.0,1200.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.8542197936321869,0.0013791526877038485,20.0,,,fixed_d_vary_n,20000.0,2000.0,,,,,,,,,,,,,,
scaling_alignment,isotropic,,0.8768351608198541,0.0013137695155674527,20.0,,,fixed_d_vary_n,20000.0,3000.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.8674291628722395,0.0061853052191426575,20.0,,,fixed_d_vary_n,20000.0,50.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9227527465280849,0.0020065558923368313,20.0,,,fixed_d_vary_n,20000.0,100.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9536636627291672,0.0014132624657453938,20.0,,,fixed_d_vary_n,20000.0,200.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9685180638819377,0.0007558031328538169,20.0,,,fixed_d_vary_n,20000.0,400.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9752352042558801,0.0006882303539370207,20.0,,,fixed_d_vary_n,20000.0,800.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9773560077430602,0.0006757529967322049,20.0,,,fixed_d_vary_n,20000.0,1200.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9796075594215106,0.0006241618977015323,20.0,,,fixed_d_vary_n,20000.0,2000.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.2,,0.9809745274114668,0.0005117038434191837,20.0,,,fixed_d_vary_n,20000.0,3000.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9950171561414024,0.0009361796181159801,20.0,,,fixed_d_vary_n,20000.0,50.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9959222123083128,0.0005004759504885273,20.0,,,fixed_d_vary_n,20000.0,100.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9964049911027786,0.0003731191305169504,20.0,,,fixed_d_vary_n,20000.0,200.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9966518444400428,0.0003030948583559916,20.0,,,fixed_d_vary_n,20000.0,400.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9968454884653312,0.0003740846810567467,20.0,,,fixed_d_vary_n,20000.0,800.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9970254210472678,0.00039338638602855343,20.0,,,fixed_d_vary_n,20000.0,1200.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9970766119787686,0.0003560269231823344,20.0,,,fixed_d_vary_n,20000.0,2000.0,,,,,,,,,,,,,,
scaling_alignment,polynomial alpha=0.5,,0.9970863644717098,0.00033643081537199743,20.0,,,fixed_d_vary_n,20000.0,3000.0,,,,,,,,,,,,,,
